hr,cnt,casual,registered,temp,hum,windspeed,cluster
0,53.89807162534435,10.158402203856749,43.739669421487605,0.4674104683195592,0.6910192837465565,0.16175840220385676,1
1,33.3756906077348,6.504143646408839,26.87154696132597,0.4593646408839779,0.7042127071823204,0.15865911602209945,1
2,22.86993006993007,4.772027972027972,18.097902097902097,0.45457342657342653,0.7168251748251748,0.1545193006993007,1
3,11.727403156384504,2.715925394548063,9.011477761836442,0.4531133428981349,0.7297847919655668,0.15092912482065995,1
4,6.352941176470588,1.2539454806312769,5.098995695839311,0.4466284074605452,0.7423672883787661,0.15581276901004304,1
5,19.88981868898187,1.411436541143654,18.478382147838214,0.43612273361227333,0.742928870292887,0.1503423988842399,1
6,76.04413793103448,4.161379310344827,71.88275862068966,0.4324689655172414,0.7441793103448275,0.15772193103448276,1
7,212.0646492434663,11.055020632737277,201.009628610729,0.439092159559835,0.7309078404401651,0.16391581843191197,2
8,359.01100412654745,21.679504814305364,337.3314993122421,0.4549931224209079,0.7026822558459422,0.1765627235213205,2
9,219.30949105914718,30.891334250343878,188.4181568088033,0.47672627235213205,0.6616918844566713,0.19126231086657494,2
10,173.6685006877579,46.47730398899587,127.19119669876204,0.5005777166437414,0.6160660247592847,0.20204085281980744,2
11,208.1430536451169,59.54057771664374,148.60247592847318,0.5226134800550206,0.5714305364511691,0.20733906464924348,0
12,253.31593406593407,68.29395604395604,185.02197802197801,0.5402747252747253,0.5367032967032968,0.21601277472527472,0
13,253.66117969821673,72.30864197530865,181.3525377229081,0.5547325102880658,0.5115912208504801,0.2216329218106996,0
14,240.94924554183814,75.5679012345679,165.38134430727024,0.5650754458161865,0.49698216735253775,0.23246241426611797,0
15,251.2331961591221,74.90534979423869,176.3278463648834,0.5686145404663923,0.4921262002743484,0.2351429355281207,0
16,311.9835616438356,73.74520547945205,238.23835616438356,0.564958904109589,0.4957945205479452,0.23731698630136985,0
17,461.45205479452056,74.27397260273973,387.17808219178085,0.5545753424657534,0.5134383561643836,0.23337109589041094,3
18,425.510989010989,61.120879120879124,364.3901098901099,0.5411813186813187,0.535989010989011,0.2246835164835165,3
19,311.52335164835165,48.770604395604394,262.75274725274727,0.5241758241758242,0.5724450549450549,0.21014766483516484,0
20,226.03021978021977,36.23351648351648,189.7967032967033,0.508598901098901,0.6014697802197803,0.19522225274725274,2
21,172.31456043956044,28.255494505494507,144.05906593406593,0.4953021978021978,0.6315384615384615,0.18087087912087912,2
22,131.33516483516485,22.252747252747252,109.08241758241758,0.4845054945054945,0.6531456043956044,0.17464038461538461,2
23,87.83104395604396,15.199175824175825,72.63186813186813,0.4750274725274725,0.6732692307692307,0.1648021978021978,1
